Sr. No.,District Name,Market Committee Name,Purchase Center Name,Storage Capacity in quintals,Type Name,Storage Capacity in tons,active_days,mean_cpns_pd,std
1,Amritsar,Rayya,Butala,79875.0,Sub Yard,7987.5,36.0,33.22222222222222,35.236434967322516
2,Amritsar,Ajnala,Sudhar,82125.0,Sub Yard,8212.5,42.0,44.833333333333336,22.810905251085142
3,Amritsar,Ajnala,Chak dogra,36000.0,Sub Yard,3600.0,41.0,14.024390243902438,3.8502454783951676
4,Amritsar,Majeetha,Pakharpur,83250.0,Sub Yard,8325.0,38.0,44.3421052631579,35.843712039148194
5,Amritsar,Mehta,Tahli sahib,63000.0,Sub Yard,6300.0,28.0,22.392857142857142,8.786940164830842
6,Amritsar,Atari,Sarai amanat khan,36000.0,Sub Yard,3600.0,36.0,20.666666666666668,13.589912225092341
7,Amritsar,Atari,Khasa,130500.0,Sub Yard,13050.0,25.0,39.68,17.50409475903662
8,Amritsar,Chogava,Harsachhina,124875.0,Sub Yard,12487.5,39.0,66.15384615384616,44.91602601202104
9,Amritsar,Chogava,Rajasansi,63000.0,Sub Yard,6300.0,38.0,41.86842105263158,26.753298410063813
10,Amritsar,Gehri,Tarsika,176625.0,Sub Yard,17662.5,37.0,34.891891891891895,23.57468484976556
11,Amritsar,Amritsar,Chheharta mandi,130500.0,Sub Yard,13050.0,27.0,31.48148148148148,10.902964912107343
12,Amritsar,Amritsar,Verka,163125.0,Sub Yard,16312.5,,,
13,Bathinda,Talwandi Sabo,Sego,118020.0,Sub Yard,11802.0,30.0,24.033333333333335,14.737901720612632
14,Bathinda,Talwandi Sabo,Sheikhpura,118020.0,Sub Yard,11802.0,30.0,22.6,13.0267629027375
15,Bathinda,Talwandi Sabo,Coatfata,162868.0,Sub Yard,16286.8,36.0,42.111111111111114,16.826471963253574
16,Bathinda,Maud,Rajgarh kube,137690.0,Sub Yard,13769.0,29.0,23.79310344827586,16.661288130498423
17,Bathinda,Bhargta Bhaika,Kothaguruka,103155.0,Sub Yard,10315.5,34.0,19.0,11.51810169544733
18,Bathinda,Bhargta Bhaika,Jalal,162081.0,Sub Yard,16208.1,33.0,28.060606060606062,20.133832524415517
19,Bathinda,Bhargta Bhaika,Maluka,93629.0,Sub Yard,9362.9,33.0,21.03030303030303,10.339502068779861
20,Bathinda,Goniana,Mahama sarja,102678.0,Sub Yard,10267.8,33.0,22.09090909090909,12.400513185861593
21,Bathinda,Bhucho,Chakk fateh singh wala,135000.0,Sub Yard,13500.0,25.0,43.2,17.19253714067046
22,Bathinda,Rampuraphool,Chauke,110546.0,Sub Yard,11054.6,27.0,31.77777777777778,13.540064007726603
23,Bathinda,Rampuraphool,Dhade,101498.0,Sub Yard,10149.8,37.0,32.0,21.21974971053565
24,Bathinda,Rampuraphool,Dhapali,73125.0,Sub Yard,7312.5,27.0,20.40740740740741,8.85463485438888
25,Bathinda,Rampuraphool,Badayala,107792.0,Sub Yard,10779.2,27.0,22.25925925925926,13.331837522933279
26,Bathinda,Rampuraphool,Baliawali,104625.0,Sub Yard,10462.5,27.0,25.22222222222222,11.965763125663452
27,Bathinda,Rampuraphool,Bhairupa,236250.0,Sub Yard,23625.0,26.0,47.84615384615385,25.43964199070782
28,Bathinda,Rampuraphool,Maharaj,256500.0,Sub Yard,25650.0,27.0,41.7037037037037,31.388158980999897
29,Bathinda,Rampuraphool,Mandi kalan,141624.0,Sub Yard,14162.4,28.0,32.17857142857143,14.41720569686859
30,Bathinda,Bathinda,Tiona,102274.0,Sub Yard,10227.4,34.0,26.0,12.898202834644692
31,Bathinda,Bathinda,Balluana,78680.0,Sub Yard,7868.0,34.0,22.441176470588236,9.547937033950216
32,Bathinda,Rama,Malkana,108750.0,Sub Yard,10875.0,43.0,23.74418604651163,14.750452815092721
33,Bathinda,Sangat,Ghudda,118020.0,Sub Yard,11802.0,32.0,28.125,14.43059026803377
34,Bathinda,Sangat,Pakka kalan,177031.0,Sub Yard,17703.1,34.0,45.76470588235294,28.5732008617626
35,Bathinda,Nathana,Kaliyaan,163655.0,Sub Yard,16365.5,35.0,37.885714285714286,17.980007571436325
36,Barnala,Bhadour,Sehna,271125.0,Sub Yard,27112.5,28.0,61.607142857142854,27.94616423121597
37,Barnala,Dhanola,Kaleke,195750.0,Sub Yard,19575.0,38.0,56.0,55.22582631244092
38,Barnala,Mehal kalan,Kutba,149625.0,Sub Yard,14962.5,20.0,31.65,18.6103395144233
39,Barnala,Mehal kalan,Channanwal,245250.0,Sub Yard,24525.0,11.0,59.81818181818182,34.38551492072842
40,Barnala,Mehal kalan,Thuliwal,131625.0,Sub Yard,13162.5,17.0,28.176470588235293,16.816046258401705
41,Faridkot,Faridkot,Machaki kalan,90000.0,Sub Yard,9000.0,27.0,30.14814814814815,10.298258641835087
42,Faridkot,kotkpura,Sarawa,115875.0,Sub Yard,11587.5,26.0,30.26923076923077,17.023648709504535
43,Faridkot,kotkpura,Hari no,136125.0,Sub Yard,13612.5,25.0,37.48,18.918949935624514
44,Faridkot,kotkpura,Coatsukhian,117000.0,Sub Yard,11700.0,25.0,39.88,13.675769326318234
45,Faridkot,kotkpura,Panjgraikalan,106875.0,Sub Yard,10687.5,25.0,34.2,12.379418403139946
46,Faridkot,kotkpura,Bargadi,49500.0,Sub Yard,4950.0,26.0,23.03846153846154,9.017674951918677
47,Faridkot,jeto,Bajakhana,175375.0,Sub Yard,17537.5,27.0,24.85185185185185,14.795279142357705
48,Faridkot,Sadik,Golekhana,87750.0,Sub Yard,8775.0,29.0,22.103448275862068,11.586151917533176
49,Faridkot,Sadik,Jandsahib,185625.0,Sub Yard,18562.5,29.0,42.3448275862069,22.049094348212005
50,Ferozpur,Ferozpur Sehar,Arfke,101250.0,Sub Yard,10125.0,20.0,26.85,11.221572269986337
51,Ferozpur,Ferozpur cantt,Sande hasam,42750.0,Sub Yard,4275.0,24.0,16.75,4.42571536836014
52,Ferozpur,Ferozpur cantt,Jhok harihar,226125.0,Sub Yard,22612.5,26.0,38.30769230769231,21.632880956117205
53,Ferozpur,Ferozpur cantt,Mana singh wala,101250.0,Sub Yard,10125.0,25.0,16.0,7.905694150420948
54,Ferozpur,Ferozpur cantt,Lohgarh,130500.0,Sub Yard,13050.0,27.0,46.925925925925924,16.73992446891775
55,Ferozpur,Talwandi Bhai,Mudki,79875.0,Sub Yard,7987.5,32.0,29.15625,7.080684197849627
56,Ferozpur,Guru Har Sahai,Jhok mohre,257625.0,Sub Yard,25762.5,25.0,53.48,27.722012913928168
57,Ferozpur,Mamdod,Tibbikhurd,151875.0,Sub Yard,15187.5,23.0,33.56521739130435,15.770588525815798
58,Ferozpur,Malewala,Gogoani -khosa dal singh,214875.0,Sub Yard,21487.5,21.0,31.904761904761905,21.30001117817726
59,Fazilka,Fazilka,Khiowala dhab,213559.0,Sub Yard,21355.9,35.0,67.51428571428572,26.723388553817784
60,Fazilka,Fazilka,Ladhuka,456301.0,Sub Yard,45630.1,31.0,118.12903225806451,56.11223392183671
61,Fazilka,Jalalabad,Ghubaya,143475.0,Sub Yard,14347.5,33.0,45.696969696969695,20.035101772396946
62,Fazilka,Jalalabad,Chuck sadoke,92565.0,Sub Yard,9256.5,35.0,26.714285714285715,12.1958802797633
63,Fazilka,Jalalabad,Ladhuwala uttar,92565.0,Sub Yard,9256.5,31.0,28.806451612903224,11.78535632282342
64,Fazilka,Arniwala,Hojkhas,450000.0,Sub Yard,45000.0,31.0,42.58064516129032,32.741181197943355
65,Fazilka,Arniwala,Kamalwala,108750.0,Sub Yard,10875.0,32.0,34.5625,18.203043878747668
66,Fazilka,Arniwala,Dabbwal kalan,161988.0,Sub Yard,16198.8,33.0,39.696969696969695,21.568908248455767
67,Fazilka,Arniwala,Mandi rorawali,129046.0,Sub Yard,12904.6,37.0,29.64864864864865,17.006887846817662
68,Fatehgarh Sahib,Sirhind,Brass,94500.0,Sub Yard,9450.0,28.0,42.67857142857143,20.99568486781946
69,Fatehgarh Sahib,Amloh,Samaspur,91125.0,Sub Yard,9112.5,19.0,24.0,8.137703743822469
70,Fatehgarh Sahib,Amloh,Mandi gobindgarh,205875.0,Sub Yard,20587.5,21.0,54.57142857142857,19.425682558333513
71,Fatehgarh Sahib, Bassi Pathana,Nandpur kalor,101250.0,Sub Yard,10125.0,28.0,15.035714285714286,13.231506011136878
72,Fatehgarh Sahib,Khamano,Sanghol,354375.0,Sub Yard,35437.5,30.0,57.166666666666664,36.65786205679094
73,Fatehgarh Sahib,Khamano,Nanowal,102375.0,Sub Yard,10237.5,36.0,29.555555555555557,13.089678473502799
74,Fatehgarh Sahib,Khamano,Barwali,81000.0,Sub Yard,8100.0,29.0,16.862068965517242,8.74938421478512
75,Fatehgarh Sahib,Chanarthal,Bhamarsi,78750.0,Sub Yard,7875.0,29.0,17.344827586206897,8.307809845771478
76,Gurdaspur,Dinanagar,Kalichpur,40500.0,Sub Yard,4050.0,24.0,21.625,9.150017818942022
77,Gurdaspur,Dinanagar,Jharouli,225000.0,Sub Yard,22500.0,31.0,33.67741935483871,25.160004102774167
78,Gurdaspur,Dinanagar,Marada,45000.0,Sub Yard,4500.0,32.0,20.625,14.11873612181414
79,Gurdaspur,Dhariwal,Bagovani kunjar,45000.0,Sub Yard,4500.0,32.0,12.40625,6.795916112375992
80,Gurdaspur,Dhariwal,Langah,49500.0,Sub Yard,4950.0,30.0,14.933333333333334,8.08972670495855
81,Gurdaspur,Kalanaur,Bakhshiwal / bhikhariwal,75438.0,Sub Yard,7543.8,24.0,25.625,10.273700065871024
82,Gurdaspur,Kalanaur,Rudiana,31875.0,Sub Yard,3187.5,24.0,11.25,3.467237968532703
83,Gurdaspur,Kalanaur,Wadalabagar,68883.0,Sub Yard,6888.3,24.0,24.0,7.003104901461177
84,Gurdaspur,Batala,Dayalgarh,112500.0,Sub Yard,11250.0,32.0,24.3125,18.760695874018623
85,Gurdaspur,Sri Hargobindpur,Maribuchian,73281.0,Sub Yard,7328.1,31.0,19.93548387096774,9.058828047346845
86,Gurdaspur,Fatehgarh Churian,Nasarke sarchur,38250.0,Sub Yard,3825.0,37.0,18.37837837837838,9.61003917020388
87,Gurdaspur,Dera Baba Nanak,Sehjada,562500.0,Sub Yard,56250.0,40.0,39.2,37.803269428545185
88,Gurdaspur,Dera Baba Nanak,Sahpur jajan,36125.0,Sub Yard,3612.5,36.0,9.777777777777779,7.171814319607043
89,Gurdaspur,Gurdaspur,Kalanangal,45000.0,Sub Yard,4500.0,27.0,18.77777777777778,10.081717395415605
90,Hoshiarpur,Hoshiarpur,Haryana,46125.0,Sub Yard,4612.5,34.0,15.852941176470589,5.199838884107598
91,Hoshiarpur,Hoshiarpur,Chabewal,54000.0,Sub Yard,5400.0,38.0,25.42105263157895,10.001706824465533
92,Hoshiarpur,Tanda Urmur,Ghorewaha,47500.0,Sub Yard,4750.0,24.0,18.958333333333332,5.945251423846901
93,Hoshiarpur,Tanda Urmur,Nathupur,105750.0,Sub Yard,10575.0,24.0,34.333333333333336,14.067126855581224
94,Hoshiarpur,Tanda Urmur,Miani,105000.0,Sub Yard,10500.0,,,
95,Hoshiarpur,Dasuha,Khukhan kalan,65250.0,Sub Yard,6525.0,21.0,20.952380952380953,9.129491719018043
96,Hoshiarpur,Dasuha,Pasikandi,15750.0,Sub Yard,1575.0,25.0,8.16,1.6753109164172082
97,Hoshiarpur,Dasuha,Bajachak,57500.0,Sub Yard,5750.0,25.0,19.4,7.831560082980486
98,Hoshiarpur,Mukerian,Hardokhudpur,31500.0,Sub Yard,3150.0,23.0,13.869565217391305,1.6040955487888713
99,Hoshiarpur,Mukerian,Hajipur,69000.0,Sub Yard,6900.0,31.0,26.838709677419356,5.698518954918892
100,Hoshiarpur,GarhShankar,Kotfatuhi,92250.0,Sub Yard,9225.0,25.0,32.12,11.822718243562548
101,Hoshiarpur,GarhShankar,Paddi sura singh,308250.0,Sub Yard,30825.0,,,
102,Hoshiarpur,GarhShankar,Mahilpur,180000.0,Sub Yard,18000.0,22.0,48.36363636363637,25.511053541824822
103,Jalandhar,Jalandhar Sehar,Alampur bukka,36000.0,Sub Yard,3600.0,27.0,10.777777777777779,5.387544990590893
104,Jalandhar,Jalandhar Sehar,Sarai khas,36000.0,Sub Yard,3600.0,25.0,9.24,4.548626166217664
105,Jalandhar,Jalandhar Sehar,Kartarpur,227250.0,Sub Yard,22725.0,31.0,48.12903225806452,31.37168780443483
106,Jalandhar,Jalandhar Sehar,Kohala,120375.0,Sub Yard,12037.5,29.0,25.24137931034483,13.116661085411815
107,Jalandhar,Jalandhar Sehar,Mandi fattenjung,2250.0,Sub Yard,225.0,16.0,3.6875,1.5370426148939398
108,Jalandhar,Jalandhar kantt,Jamser,86625.0,Sub Yard,8662.5,27.0,19.0,10.228166239135176
109,Jalandhar,Jalandhar kantt,Patara,136125.0,Sub Yard,13612.5,30.0,25.633333333333333,14.620447026830877
110,Jalandhar,Jalandhar kantt,Pratappura,112500.0,Sub Yard,11250.0,30.0,37.56666666666667,12.748720918487127
111,Jalandhar,Jalandhar kantt,Raipur,86625.0,Sub Yard,8662.5,36.0,49.611111111111114,15.052817064832135
112,Jalandhar,Bhogpur,Kandhalaguru,36000.0,Sub Yard,3600.0,29.0,10.448275862068966,5.137997156317344
113,Jalandhar,Bhogpur,Ladhra,36000.0,Sub Yard,3600.0,31.0,10.387096774193548,4.930702582491592
114,Jalandhar,Aadampur,Droli kalan,36000.0,Sub Yard,3600.0,30.0,12.0,5.356272507295889
115,Jalandhar,Aadampur,Bohdinpur,66375.0,Sub Yard,6637.5,31.0,18.096774193548388,7.502687690464344
116,Jalandhar,Nakodar,Uggi,59750.0,Sub Yard,5975.0,24.0,14.375,7.203939139834177
117,Jalandhar,Nakodar,Sareeh,181125.0,Sub Yard,18112.5,35.0,25.65714285714286,18.117172317254955
118,Jalandhar,Sahkot,Malsian,106875.0,Sub Yard,10687.5,24.0,25.666666666666668,11.794127745423243
119,Jalandhar,Sahkot,Rupewal,173250.0,Sub Yard,17325.0,16.0,16.5625,24.971900875450658
120,Jalandhar,Sahkot,Lasuri,157500.0,Sub Yard,15750.0,26.0,32.69230769230769,18.878070305556616
121,Jalandhar,Goraya,Mansurpur,74250.0,Sub Yard,7425.0,26.0,34.42307692307692,11.815830320119113
122,Jalandhar,Philaur,Appara,195000.0,Sub Yard,19500.0,32.0,55.6875,31.987333682709977
123,Jalandhar,Philaur,Muttada khurd,178638.0,Sub Yard,17863.8,28.0,28.464285714285715,19.79240808970495
124,Jalandhar,Philaur,Lasara,42750.0,Sub Yard,4275.0,31.0,16.93548387096774,4.999569873972277
125,Jalandhar,Bilga,Talwan,166500.0,Sub Yard,16650.0,35.0,31.485714285714284,17.04728963893127
126,Jalandhar,Bilga,Pratabpura,110250.0,Sub Yard,11025.0,25.0,28.8,12.665570127975554
127,Jalandhar,NoorMehal,Kotbadakha,158625.0,Sub Yard,15862.5,28.0,28.071428571428573,12.560751839459563
128,Jalandhar,NoorMehal,Mithda,40500.0,Sub Yard,4050.0,26.0,13.23076923076923,4.429967876250953
129,Jalandhar,Mehatpur,Sangowal,72250.0,Sub Yard,7225.0,26.0,17.23076923076923,10.265700920278915
130,Kapurthala,Kapurthala,Surakhpur,41625.0,Sub Yard,4162.5,40.0,21.675,13.75124702969861
131,Kapurthala,Kapurthala,Khalu,72000.0,Sub Yard,7200.0,30.0,22.633333333333333,7.4901467843143585
132,Kapurthala,Kapurthala,Blair khanpur,41625.0,Sub Yard,4162.5,27.0,12.74074074074074,4.015284189507279
133,Kapurthala,Phagwara,Mankvahd,52500.0,Sub Yard,5250.0,38.0,16.473684210526315,6.382987702141521
134,Kapurthala,Sultanpur Lodhi,Kabirpur,78750.0,Sub Yard,7875.0,43.0,20.558139534883722,6.905147581545493
135,Kapurthala,Sultanpur Lodhi,Tibba,141750.0,Sub Yard,14175.0,42.0,42.57142857142857,18.428692974236558
136,Kapurthala,Sultanpur Lodhi,Dalla,108000.0,Sub Yard,10800.0,43.0,29.3953488372093,21.662057606708732
137,Kapurthala,Sultanpur Lodhi,Talwandi chaudhary,110250.0,Sub Yard,11025.0,43.0,33.16279069767442,15.74034886852158
138,Kapurthala,Bhulath,Abraham val,55125.0,Sub Yard,5512.5,28.0,21.892857142857142,5.691704722269299
139,Kapurthala,Bhulath,Nadala,227250.0,Sub Yard,22725.0,28.0,76.53571428571429,18.96093868370434
140,Kapurthala,Bhulath,Bagowal,138375.0,Sub Yard,13837.5,43.0,37.95348837209303,21.450889079556422
141,Kapurthala,Bhulath,Ramgarh,32625.0,Sub Yard,3262.5,43.0,41.74418604651163,31.146423033377147
142,Ludhiana,Ludhiana,Ayali khurd,68625.0,Sub Yard,6862.5,28.0,16.5,9.406459561465274
143,Ludhiana,Khanna,Isaru,105750.0,Sub Yard,10575.0,27.0,17.037037037037038,5.543405517310161
144,Ludhiana,Mullanpur Dakha,Savaudi,322775.0,Sub Yard,32277.5,41.0,34.073170731707314,37.53624264887366
145,Ludhiana,Maloud,Siar,212625.0,Sub Yard,21262.5,28.0,30.571428571428573,16.367149962152784
146,Ludhiana,Mullanpur Dakha,Sudhar,87120.0,Sub Yard,8712.0,42.0,44.833333333333336,22.810905251085142
147,Ludhiana,Jagrao,Kaoke kalan,213750.0,Sub Yard,21375.0,37.0,22.7027027027027,20.64765908827986
148,Ludhiana,Kilaraipur,Kalakh,92250.0,Sub Yard,9225.0,30.0,14.133333333333333,10.57235605925558
149,Ludhiana,Ludhiana,Gill road,112500.0,Sub Yard,11250.0,31.0,23.516129032258064,15.80268113905978
150,Ludhiana,Kilaraipur,Gopalpur,105750.0,Sub Yard,10575.0,35.0,15.942857142857143,13.197466016008432
151,Ludhiana,Doraha,Ghaloti,272250.0,Sub Yard,27225.0,40.0,22.3,18.78242495471465
152,Ludhiana,Sahnewal,Jandiali (focal point),27000.0,Sub Yard,2700.0,23.0,7.086956521739131,3.088292312446253
153,Ludhiana,Kilaraipur,Jodhan,96750.0,Sub Yard,9675.0,36.0,19.666666666666668,13.558339552783425
154,Ludhiana,Sahnewal,Tibba  (focal point),54000.0,Sub Yard,5400.0,23.0,14.391304347826088,7.649950269801418
155,Ludhiana,Raikot,Talwandi rai,135000.0,Sub Yard,13500.0,28.0,27.035714285714285,17.46845228967997
156,Ludhiana,Doraha,Dhamout,122625.0,Sub Yard,12262.5,40.0,17.7,12.46369085558486
157,Ludhiana,Ludhiana,Dhandra,119250.0,Sub Yard,11925.0,23.0,26.347826086956523,13.590132435143635
158,Ludhiana,Raikot,Nathowal,101250.0,Sub Yard,10125.0,28.0,22.892857142857142,11.976332480460773
159,Ludhiana,Jagrao,Pubian,106875.0,Sub Yard,10687.5,24.0,21.875,13.362219615149208
160,Ludhiana,Doraha,Pile,284625.0,Sub Yard,28462.5,40.0,37.8,29.876841215658004
161,Ludhiana,Ludhiana,Bagga khurd,50625.0,Sub Yard,5062.5,25.0,14.6,5.5527770829858945
162,Ludhiana,Kilaraipur,Barudi,106875.0,Sub Yard,10687.5,30.0,19.5,14.102457599469234
163,Ludhiana,Sidvabet,Bhundri,115875.0,Sub Yard,11587.5,29.0,31.655172413793103,17.39309358433679
164,Ludhiana,Samrala,Mahiduda (f.p.),59250.0,Sub Yard,5925.0,39.0,25.23076923076923,5.248867238504837
165,Ludhiana,Hathur,Manuke,214875.0,Sub Yard,21487.5,32.0,70.28125,38.87302271706292
166,Ludhiana,Mullanpur Dakha,Mulapur dakha,450000.0,Sub Yard,45000.0,41.0,47.951219512195124,42.94237488746529
167,Ludhiana,Khanna,Raipur rajputs,83250.0,Sub Yard,8325.0,23.0,11.043478260869565,5.5471389912406455
168,Ludhiana,Khanna,Roni,218250.0,Sub Yard,21825.0,28.0,29.178571428571427,12.80061795796672
169,Ludhiana,Sidvabet,Lodhiwal,135000.0,Sub Yard,13500.0,33.0,26.0,17.98958031750602
170,Mansa,Mansa,"Ubha, burj dhilwa",78680.0,Sub Yard,7868.0,31.0,39.774193548387096,16.29050782392281
171,Mansa,Mansa,Khialakalan,118020.0,Sub Yard,11802.0,32.0,29.65625,12.398255275278363
172,Mansa,Bareta,Gobindpura,39340.0,Sub Yard,3934.0,35.0,39.542857142857144,22.292629825523395
173,Mansa,Mansa,Jhaneer,190000.0,Sub Yard,19000.0,37.0,66.1891891891892,21.21430051985091
174,Mansa,Sardulgarh,Fatta mulka,101533.0,Sub Yard,10153.3,24.0,41.375,7.993543590325556
175,Mansa,Budhladha,Fafde bhaike,157361.0,Sub Yard,15736.1,27.0,40.592592592592595,15.135946157966673
176,Mansa,Mansa,Behniwal,78000.0,Sub Yard,7800.0,31.0,28.161290322580644,8.165360878710132
177,Mansa,Budhladha,Bachhoana,147525.0,Sub Yard,14752.5,28.0,41.464285714285715,17.010850878749352
178,Mansa,Budhladha,Bare,88515.0,Sub Yard,8851.5,31.0,31.483870967741936,8.99581742716001
179,Mansa,Mansa,Bhamekalan,80000.0,Sub Yard,8000.0,30.0,30.366666666666667,7.699007250527707
180,Moga,Baghapurana,Smalser,130730.0,Sub Yard,13073.0,20.0,48.6,13.892065133888861
181,Moga,Nihal Singh Wala,Himatpura,169875.0,Sub Yard,16987.5,28.0,32.0,21.614467034493014
182,Moga,Moga,Khukhrana,192375.0,Sub Yard,19237.5,19.0,51.0,22.44994432064365
183,Moga,Moga,Khosapande,113625.0,Sub Yard,11362.5,,,
184,Moga,Baghapurana,Gholia khurd,177575.0,Sub Yard,17757.5,18.0,37.55555555555556,23.46015952561534
185,Moga,Baghapurana,Chand nawan,78750.0,Sub Yard,7875.0,15.0,35.53333333333333,14.701149938824837
186,Moga,Moga,Chadik,171000.0,Sub Yard,17100.0,24.0,55.666666666666664,18.943087913804998
187,Moga,Ajitwal,Chugawa,64125.0,Sub Yard,6412.5,25.0,19.48,7.349149610669251
188,Moga,Dharamkot,Jalalabad,182250.0,Sub Yard,18225.0,43.0,209.53488372093022,150.2907260132221
189,Moga,Baghapurana,Thatti bhai,151991.0,Sub Yard,15199.1,10.0,44.9,19.97470622784948
190,Moga,Ajitwal,Dala,72750.0,Sub Yard,7275.0,26.0,23.153846153846153,11.460165121645698
191,Moga,Dharamkot,Talwandi malliyan,154500.0,Sub Yard,15450.0,30.0,36.666666666666664,20.800088417141875
192,Moga,Badhni Kalan,Dodar,119250.0,Sub Yard,11925.0,26.0,39.80769230769231,13.31170681999639
193,Moga,Baghapurana,Nathuwala,111535.0,Sub Yard,11153.5,15.0,37.06666666666667,10.236256756302687
194,Moga,Baghapurana,Malke,130843.0,Sub Yard,13084.3,14.0,32.285714285714285,17.07192283987218
195,Moga,Baghapurana,Mari mudtafa,224113.0,Sub Yard,22411.3,19.0,68.36842105263158,17.94810583108916
196,Moga,Nihal Singh Wala,Rota,128250.0,Sub Yard,12825.0,31.0,45.32258064516129,15.816419942102769
197,Sri Muktsar Sahib,Sri Muktsar Sahib,Thande wala,142875.0,Sub Yard,14287.5,27.0,28.51851851851852,18.805421416279792
198,Sri Muktsar Sahib,Sri Muktsar Sahib,Badhai,158625.0,Sub Yard,15862.5,22.0,36.04545454545455,18.09624342160621
199,Sri Muktsar Sahib,Sri Muktsar Sahib,Lubhaniya wali,308250.0,Sub Yard,30825.0,29.0,53.0,32.568608900508565
200,Sri Muktsar Sahib,Malout,Katiawali,549000.0,Sub Yard,54900.0,22.0,38.68181818181818,35.208746699589355
201,Sri Muktsar Sahib,Malout,Kiliyawali,299250.0,Sub Yard,29925.0,36.0,98.88888888888889,51.0645405500461
202,Sri Muktsar Sahib,Malout,Bhaika kera,163125.0,Sub Yard,16312.5,27.0,28.14814814814815,17.47900653686214
203,Sri Muktsar Sahib,Malout,Mahuana,180000.0,Sub Yard,18000.0,22.0,23.863636363636363,17.30756909713054
204,Sri Muktsar Sahib,Malout,Midda,114750.0,Sub Yard,11475.0,25.0,17.48,8.302208541506692
205,Sri Muktsar Sahib,Malout,Rodawali,192375.0,Sub Yard,19237.5,25.0,36.36,19.9266990074456
206,Sri Muktsar Sahib,Bariwala,Asa butter,140625.0,Sub Yard,14062.5,22.0,36.18181818181818,17.796833221876096
207,Sri Muktsar Sahib,Bariwala,Asa butter,5000.0,Sub Yard,500.0,22.0,36.18181818181818,17.796833221876096
208,Sri Muktsar Sahib,Gidarbaha,Bhalaiana,391500.0,Sub Yard,39150.0,25.0,53.04,43.236250222855055
209,Patiala,Patiala,Sanaour,222750.0,Sub Yard,22275.0,31.0,74.0,28.630985545966336
210,Patiala,Patiala,Sanour road mandi,247500.0,Sub Yard,24750.0,31.0,60.29032258064516,35.575453661560054
211,Patiala,Samana,Gajjumajra,123750.0,Sub Yard,12375.0,25.0,36.88,18.846573517043712
212,Patiala,Samana,Gajewas,168750.0,Sub Yard,16875.0,28.0,59.0,21.17475785860066
213,Patiala,Patran,Arno,106875.0,Sub Yard,10687.5,24.0,35.083333333333336,14.132653114612664
214,Patiala,Patran,Satrana,230625.0,Sub Yard,23062.5,25.0,66.12,30.375867614495117
215,Patiala,Patran,Ghaga,416250.0,Sub Yard,41625.0,30.0,94.06666666666666,67.69909760175503
216,Patiala,Patran,Badshahpur,118125.0,Sub Yard,11812.5,30.0,41.96666666666667,17.91644078980847
217,Patiala,Dudhan Sadhan,Gharam,56250.0,Sub Yard,5625.0,25.0,14.12,7.843893590983157
218,Patiala,Dudhan Sadhan,Devigarh,225000.0,Sub Yard,22500.0,30.0,62.03333333333333,40.34120280405829
219,Patiala,Dudhan Sadhan,Masigan,101250.0,Sub Yard,10125.0,24.0,22.25,10.380793301343466
220,Patiala,Dakala,Kamalpur,96750.0,Sub Yard,9675.0,43.0,70.86046511627907,59.941869219209394
221,Patiala,Bhadson,Agol,101250.0,Sub Yard,10125.0,14.0,33.92857142857143,6.8440236221581925
222,Patiala,Bhadson,Tohra,56250.0,Sub Yard,5625.0,19.0,20.0,5.92546294487706
223,Patiala,Bhadson,Dandrala dhidsa,47250.0,Sub Yard,4725.0,22.0,16.59090909090909,8.003922198695497
224,Pathankot,Pathankot,Kahnwa,90000.0,Sub Yard,9000.0,32.0,29.71875,13.296214292652214
225,Pathankot,Pathankot,Bhoa,135000.0,Sub Yard,13500.0,31.0,16.903225806451612,8.829325526183291
226,Pathankot,Narot Jaimal Singh,Bamiyal,270000.0,Sub Yard,27000.0,43.0,20.372093023255815,14.125328914525195
227,Roopnagar,Sri Anandpur Sahib,Abiana,97875.0,Sub Yard,9787.5,33.0,21.757575757575758,10.111967856920527
228,Roopnagar,Sri Anandpur Sahib,Kiratpur sahib,64750.0,Sub Yard,6475.0,39.0,21.794871794871796,10.684911858808166
229,Roopnagar,Roopnagar,Ghanoli,90000.0,Sub Yard,9000.0,33.0,27.424242424242426,8.4373807511214
230,Roopnagar,Sri Anandpur Sahib,Dumewal,60500.0,Sub Yard,6050.0,35.0,15.17142857142857,7.168089885390808
231,Roopnagar,Sri Anandpur Sahib,Takhatgarh,90000.0,Sub Yard,9000.0,35.0,24.17142857142857,17.190088995228198
232,Roopnagar,Roopnagar,Purkhali,69000.0,Sub Yard,6900.0,38.0,23.63157894736842,8.8085371753359
233,Roopnagar,Chamkaur Sahib,Bella,202500.0,Sub Yard,20250.0,40.0,36.35,23.95995590938111
234,Saheed Bhagat Singh Nagar,Nawan Sehar,Jandla,124875.0,Sub Yard,12487.5,25.0,33.96,14.518608748774795
235,Saheed Bhagat Singh Nagar,Nawan Sehar,Fabra,72000.0,Sub Yard,7200.0,21.0,22.666666666666668,8.563488385776752
236,Saheed Bhagat Singh Nagar,Nawan Sehar,Bahlur kalan,42320.0,Sub Yard,4232.0,21.0,16.285714285714285,4.196937659089745
237,Saheed Bhagat Singh Nagar,Nawan Sehar,Raho,115620.0,Sub Yard,11562.0,27.0,32.74074074074074,15.683388057708097
